"","A","B","C","D","E","F","G","H","L","M","N"
"Pocillopora_acuta_HIv2___RNAseq.g26507.t1",1283,1186,453,493,1789,1053,1466,1377,2125,1211,370
"Pocillopora_acuta_HIv2___RNAseq.5865_t",244,276,307,292,367,266,360,295,321,225,102
"Pocillopora_acuta_HIv2___RNAseq.g29166.t1",3115,3413,3190,2478,4936,2530,3730,3673,3642,3387,952
"Pocillopora_acuta_HIv2___TS.g29410.t1",115,82,1032,1059,130,619,232,89,89,340,24
"Pocillopora_acuta_HIv2___RNAseq.g7044.t1",21,35,11,53,46,32,42,41,14,17,25
"Pocillopora_acuta_HIv2___RNAseq.g3690.t1",99,16,26,18,16,12,32,12,27,15,6
"Pocillopora_acuta_HIv2___RNAseq.g29270.t1",331,397,220,238,386,447,308,393,252,418,56
"Pocillopora_acuta_HIv2___TS.g16371.t1",1242,1017,1426,923,1264,1108,1330,1121,1357,1182,334
"Pocillopora_acuta_HIv2___RNAseq.g21926.t1",36,113,13,16,249,22,101,114,29,83,12
"Pocillopora_acuta_HIv2___RNAseq.g3142.t1a",53,134,56,72,78,59,211,67,41,66,26
"Pocillopora_acuta_HIv2___RNAseq.g25333.t1",3067,4743,4443,8348,4463,7693,4242,3958,3004,3528,1440
"Pocillopora_acuta_HIv2___RNAseq.g3142.t1c",53,112,24,104,121,24,110,42,41,98,49
"Pocillopora_acuta_HIv2___RNAseq.g3142.t1b",9,24,14,15,14,13,22,19,13,11,8
"Pocillopora_acuta_HIv2___RNAseq.g11918.t1",200,309,327,266,357,245,248,293,187,268,135
"Pocillopora_acuta_HIv2___RNAseq.g24908.t1",1378,2091,342,602,1381,1680,1606,1626,1562,1554,184
"Pocillopora_acuta_HIv2___RNAseq.g28714.t1",1009,1164,2339,1695,1343,1099,1221,968,1150,1149,633
"Pocillopora_acuta_HIv2___RNAseq.g18114.t1",22,38,573,405,67,184,133,39,28,181,14
"Pocillopora_acuta_HIv2___RNAseq.g15763.t1",102,227,30,37,51,286,28,139,125,163,59
"Pocillopora_acuta_HIv2___RNAseq.g31044.t1",5449,6711,3351,2550,7283,3659,5914,5865,6325,4231,1236
"Pocillopora_acuta_HIv2___RNAseq.g20778.t1",305,327,245,212,360,271,294,307,223,294,91
"Pocillopora_acuta_HIv2___RNAseq.g22491.t1",153,356,137,96,62,373,92,336,197,267,103
"Pocillopora_acuta_HIv2___RNAseq.g26866.t1",33,37,23,73,14,141,81,30,68,36,32
"Pocillopora_acuta_HIv2___RNAseq.g16517.t1",8472,10353,9559,9043,10121,8831,12029,9708,7525,10924,2240
"Pocillopora_acuta_HIv2___TS.g16373.t1",573,604,695,646,819,521,737,633,600,686,3082
"Pocillopora_acuta_HIv2___RNAseq.g5822.t1",201,377,368,455,346,283,442,428,316,365,122
"Pocillopora_acuta_HIv2___RNAseq.g25563.t1",527,558,208,269,579,345,587,573,590,527,248
"Pocillopora_acuta_HIv2___RNAseq.g27290.t1",158,248,123,130,303,176,150,253,168,150,89
"Pocillopora_acuta_HIv2___RNAseq.g14797.t1",101,110,73,59,74,60,41,115,64,113,31
"Pocillopora_acuta_HIv2___RNAseq.g22493.t1",38,54,32,19,20,28,79,18,63,23,18
"Pocillopora_acuta_HIv2___RNAseq.g18443.t1",696,701,698,721,580,507,635,566,431,399,628
"Pocillopora_acuta_HIv2___TS.g6704.t2",279,395,108,86,352,218,145,316,336,277,407
"Pocillopora_acuta_HIv2___RNAseq.g26137.t1",3503,4281,5287,4434,5034,3808,4343,3734,3823,3521,3085
"Pocillopora_acuta_HIv2___RNAseq.g1493.t1",408,323,228,220,410,331,420,337,473,366,120
"Pocillopora_acuta_HIv2___RNAseq.g4778.t1",86,102,0,20,141,43,66,68,69,60,13
"Pocillopora_acuta_HIv2___RNAseq.g16139.t1",371,407,372,355,415,229,341,320,312,296,220
"Pocillopora_acuta_HIv2___RNAseq.g28598.t1",71,24,6,45,40,17,47,102,113,31,44
"Pocillopora_acuta_HIv2___TS.g10260.t1",19050,16692,10558,11875,16804,14267,15053,15153,15382,13837,8007
"Pocillopora_acuta_HIv2___RNAseq.g12805.t1",3746,4260,5433,5579,4537,5106,4936,4700,3577,5074,1622
"Pocillopora_acuta_HIv2___RNAseq.g24553.t1",428,1126,303,307,920,475,667,642,856,687,150
"Pocillopora_acuta_HIv2___TS.g8291.t1",537,556,499,382,538,359,509,516,499,429,203
"Pocillopora_acuta_HIv2___RNAseq.g24454.t1",49,36,21,35,62,56,49,65,73,27,19
"Pocillopora_acuta_HIv2___TS.8586_t",174,165,209,256,143,133,142,110,189,162,157
"Pocillopora_acuta_HIv2___RNAseq.g2825.t1",90,222,159,144,139,259,173,154,99,157,67
"Pocillopora_acuta_HIv2___TS.g14474.t1",13,9,254,170,75,94,60,28,51,70,6
"Pocillopora_acuta_HIv2___RNAseq.g14586.t1",0,18,24,23,17,25,8,12,16,36,11
"Pocillopora_acuta_HIv2___RNAseq.g1070.t1",0,130,104,71,39,17,0,11,27,7,42
"Pocillopora_acuta_HIv2___RNAseq.g14334.t1",106,56,0,0,17,103,14,33,82,23,36
"Pocillopora_acuta_HIv2___RNAseq.6257_t",718,654,280,325,1144,278,994,860,874,754,421
"Pocillopora_acuta_HIv2___RNAseq.g29297.t1",136,189,169,321,246,233,361,109,88,266,64
"Pocillopora_acuta_HIv2___RNAseq.g3677.t1",54,24,29,15,38,38,32,35,29,21,9
"Pocillopora_acuta_HIv2___RNAseq.g15717.t1",16,16,16,14,7,14,15,13,8,0,10
"Pocillopora_acuta_HIv2___RNAseq.g1930.t1",1148,1392,597,780,1589,1052,1236,1668,1112,1518,716
"Pocillopora_acuta_HIv2___RNAseq.g10063.t1",1186,1051,453,642,1068,1040,1145,974,976,1237,385
"Pocillopora_acuta_HIv2___RNAseq.g28699.t1",164,96,109,163,115,106,272,81,85,125,19
"Pocillopora_acuta_HIv2___RNAseq.g29192.t1",1254,1574,913,1000,1666,1364,1696,1790,1516,1333,359
"Pocillopora_acuta_HIv2___RNAseq.g22038.t1",1358,1343,363,456,1577,810,1884,955,837,2189,416
"Pocillopora_acuta_HIv2___TS.g10174.t1",760,962,1390,1044,1069,1081,1114,1026,1208,997,315
"Pocillopora_acuta_HIv2___RNAseq.g2719.t1",217,257,279,216,260,285,261,212,239,237,76
"Pocillopora_acuta_HIv2___RNAseq.g24107.t1",73,60,70,151,78,111,34,22,72,55,231
"Pocillopora_acuta_HIv2___RNAseq.g17995.t1",1904,3138,2127,1746,1948,3342,2526,3586,2478,2920,450
"Pocillopora_acuta_HIv2___TS.g4606.t1",3,7,36,26,15,26,4,12,6,22,8
"Pocillopora_acuta_HIv2___RNAseq.8221_t",967,1542,780,951,1219,1274,1314,1377,930,1334,243
"Pocillopora_acuta_HIv2___RNAseq.g21563.t1",50,58,64,86,54,31,46,32,88,67,112
"Pocillopora_acuta_HIv2___RNAseq.g21711.t1",33,21,178,120,46,33,37,15,26,35,6
"Pocillopora_acuta_HIv2___TS.7324_t",985,2006,34,36,1952,530,1249,1609,591,1994,189
"Pocillopora_acuta_HIv2___RNAseq.g12329.t2",183,139,83,75,156,105,84,202,198,198,105
"Pocillopora_acuta_HIv2___RNAseq.g26505.t1",563,726,490,684,606,578,558,582,608,684,280
"Pocillopora_acuta_HIv2___RNAseq.g26548.t1",19,27,37,12,16,18,33,13,16,23,20
"Pocillopora_acuta_HIv2___TS.g25550.t1",731,784,976,823,818,710,849,726,640,744,215
"Pocillopora_acuta_HIv2___RNAseq.g31057.t1",36,84,4,13,56,11,20,32,25,29,0
"Pocillopora_acuta_HIv2___RNAseq.g14433.t1",43,69,36,27,16,60,43,35,35,36,17
"Pocillopora_acuta_HIv2___RNAseq.g11595.t1",721,1051,1360,1275,814,773,847,778,786,767,484
"Pocillopora_acuta_HIv2___RNAseq.g20534.t1",394,371,347,296,365,251,449,442,308,348,70
"Pocillopora_acuta_HIv2___RNAseq.g16405.t1",70,35,0,7,38,6,120,63,82,48,69
"Pocillopora_acuta_HIv2___RNAseq.g29206.t1",3476,6012,4790,4720,5907,4252,4678,5027,4580,4349,1564
"Pocillopora_acuta_HIv2___RNAseq.g4678.t1",551,736,479,549,749,464,739,625,608,492,284
"Pocillopora_acuta_HIv2___TS.g29123.t1",19,20,10,2,18,7,17,12,35,27,21
"Pocillopora_acuta_HIv2___RNAseq.g28965.t1",50193,47363,74057,64707,50852,47242,47800,38097,36864,42098,30002
"Pocillopora_acuta_HIv2___TS.g15620.t2",899,1226,926,914,1188,1084,1183,1063,982,953,272
"Pocillopora_acuta_HIv2___TS.g3256.t1",164,222,154,171,207,156,248,181,240,157,81
"Pocillopora_acuta_HIv2___TS.g27914.t3",1027,1235,941,1161,1137,1113,1178,1008,1020,1038,266
"Pocillopora_acuta_HIv2___TS.g528.t1",179,183,391,327,295,262,143,222,275,167,93
"Pocillopora_acuta_HIv2___RNAseq.g22613.t1",892,1266,1500,1034,1164,1018,1255,1148,852,948,305
"Pocillopora_acuta_HIv2___RNAseq.g28885.t1",77,65,32,17,97,55,75,46,74,75,14
"Pocillopora_acuta_HIv2___TS.g14311.t1",8,10,9,13,9,8,7,8,13,10,23
"Pocillopora_acuta_HIv2___RNAseq.g7849.t1",604,674,687,613,721,760,718,729,741,579,169
"Pocillopora_acuta_HIv2___RNAseq.g82.t1",340,416,329,412,356,311,281,375,345,317,146
"Pocillopora_acuta_HIv2___RNAseq.g28083.t1",189,104,241,269,111,98,111,82,249,131,38
"Pocillopora_acuta_HIv2___RNAseq.g2023.t1",130,207,157,236,143,258,162,169,116,202,64
"Pocillopora_acuta_HIv2___RNAseq.g8690.t1",490,366,160,121,516,225,635,235,349,658,408
"Pocillopora_acuta_HIv2___RNAseq.g26161.t1",398,606,530,482,637,458,614,465,493,490,149
"Pocillopora_acuta_HIv2___RNAseq.20979_t",114,431,147,114,191,365,193,294,309,234,32
"Pocillopora_acuta_HIv2___RNAseq.g25150.t1",28,25,33,9,37,8,11,15,32,17,71
"Pocillopora_acuta_HIv2___RNAseq.g17476.t1",88,63,171,170,104,126,99,104,46,71,38
"Pocillopora_acuta_HIv2___TS.g17331.t1",182,285,307,110,341,156,303,119,331,232,146
"Pocillopora_acuta_HIv2___TS.g16484.t1",161,254,59,49,233,41,160,53,138,100,77
"Pocillopora_acuta_HIv2___RNAseq.g8286.t1",225,204,243,185,310,170,165,119,200,155,85
"Pocillopora_acuta_HIv2___RNAseq.g29743.t1",7,11,11,7,4,20,5,6,6,15,8
"Pocillopora_acuta_HIv2___RNAseq.g23540.t1",154,60,20,23,57,114,87,76,94,90,24
"Pocillopora_acuta_HIv2___RNAseq.g5760.t1",55,54,13,34,25,63,19,44,41,41,28
"Pocillopora_acuta_HIv2___TS.g29121.t1",6,10,43,30,10,0,29,15,4,12,31
"Pocillopora_acuta_HIv2___RNAseq.g25721.t1",368,398,299,268,410,255,222,371,403,235,165
"Pocillopora_acuta_HIv2___RNAseq.g28742.t1",519,256,714,535,299,368,535,178,469,487,287
"Pocillopora_acuta_HIv2___RNAseq.g14167.t1",131,79,239,131,108,110,144,93,150,211,56
"Pocillopora_acuta_HIv2___RNAseq.g28887.t1",984,1113,1416,1230,1176,1087,1276,1129,1158,1026,870
"Pocillopora_acuta_HIv2___TS.g27579.t2",338,414,410,457,357,339,289,338,443,358,303
"Pocillopora_acuta_HIv2___RNAseq.g5494.t1",153,120,156,243,208,142,160,200,158,182,97
"Pocillopora_acuta_HIv2___TS.g13471.t1",18,23,4,10,18,27,13,14,33,13,10
"Pocillopora_acuta_HIv2___RNAseq.g4917.t1",1572,1975,2120,2404,1652,1596,1499,1939,1407,1244,1595
"Pocillopora_acuta_HIv2___RNAseq.g17474.t1",642,665,484,525,697,595,658,708,628,614,289
"Pocillopora_acuta_HIv2___RNAseq.g210.t1",1910,2945,1811,1811,2131,2242,2619,2201,2119,2059,618
"Pocillopora_acuta_HIv2___TS.g9003.t1",69,53,50,18,65,37,88,76,96,65,38
"Pocillopora_acuta_HIv2___RNAseq.g29787.t1",159,136,150,368,144,285,332,163,153,264,67
"Pocillopora_acuta_HIv2___TS.g5025.t1",24,7,7,13,27,25,15,26,41,31,12
"Pocillopora_acuta_HIv2___RNAseq.g2608.t1",49,62,75,68,82,50,85,61,57,74,20
"Pocillopora_acuta_HIv2___RNAseq.g4069.t1",682,988,1100,965,793,625,769,814,752,770,575
"Pocillopora_acuta_HIv2___TS.g31736.t1",800,515,623,462,769,577,635,637,878,592,1064
"Pocillopora_acuta_HIv2___RNAseq.g21698.t2",2917,2549,2861,2452,2291,2216,2239,2422,2550,2336,909
"Pocillopora_acuta_HIv2___RNAseq.g24992.t1",249,282,75,141,278,255,277,212,308,294,165
"Pocillopora_acuta_HIv2___TS.g29405.t1",682,710,1585,1750,721,1123,809,565,804,901,211
"Pocillopora_acuta_HIv2___RNAseq.g28740.t1",361,403,231,285,555,587,516,461,494,515,68
"Pocillopora_acuta_HIv2___TS.g26004.t1",590,739,279,180,318,553,261,411,634,439,814
"Pocillopora_acuta_HIv2___RNAseq.g31001.t1",348,541,393,274,594,257,503,437,450,548,103
"Pocillopora_acuta_HIv2___RNAseq.g10600.t1",17,12,16,16,44,20,26,25,21,44,10
"Pocillopora_acuta_HIv2___RNAseq.g15431.t1",1689,2174,2234,1924,1932,1754,1891,1872,1636,1575,611
"Pocillopora_acuta_HIv2___TS.g30540.t1b",1173,1354,2244,1555,1053,1522,1292,1096,1364,1450,446
"Pocillopora_acuta_HIv2___TS.g10330.t2",202,181,264,310,154,214,224,150,219,163,88
"Pocillopora_acuta_HIv2___RNAseq.g10317.t1",977,820,948,1198,714,939,1166,1136,800,1204,274
"Pocillopora_acuta_HIv2___TS.g1280.t1",1087,1488,1278,1160,1621,1200,1627,1229,1257,1258,679
"Pocillopora_acuta_HIv2___RNAseq.g11311.t1",3762,4166,1321,1538,5351,3030,4162,5471,6288,3654,493
"Pocillopora_acuta_HIv2___RNAseq.g11296.t1",13,14,24,4,17,18,6,10,9,20,0
"Pocillopora_acuta_HIv2___RNAseq.g21726.t1",403,269,17,32,376,132,723,140,479,298,96
"Pocillopora_acuta_HIv2___RNAseq.g25133.t1",52,180,0,3,17,97,60,101,61,30,47
"Pocillopora_acuta_HIv2___TS.g10133.t1",1597,2442,2276,1535,2529,1558,1820,1684,1475,1268,605
"Pocillopora_acuta_HIv2___RNAseq.g21724.t1",4529,5419,6934,6247,5129,3307,5410,5440,5312,3683,2128
"Pocillopora_acuta_HIv2___RNAseq.g9119.t1",1006,962,1252,1162,1017,827,1054,956,1146,979,389
"Pocillopora_acuta_HIv2___RNAseq.g22558.t1",223,147,207,204,160,182,243,199,174,200,277
"Pocillopora_acuta_HIv2___RNAseq.g10602.t1",130,186,168,218,161,208,167,257,210,247,43
"Pocillopora_acuta_HIv2___RNAseq.g5039.t1",553,570,636,780,550,889,715,511,664,685,154
"Pocillopora_acuta_HIv2___TS.g28925.t1",305,302,406,348,346,326,297,368,364,262,90
"Pocillopora_acuta_HIv2___RNAseq.g12968.t1",3085,4069,2187,1902,4013,2729,3951,4211,3388,3745,439
"Pocillopora_acuta_HIv2___TS.g11973.t1",182,257,261,320,160,206,159,192,192,160,117
"Pocillopora_acuta_HIv2___RNAseq.g15604.t1",89,96,97,145,94,124,91,81,93,74,144
"Pocillopora_acuta_HIv2___RNAseq.g4070.t1",1380,2007,1491,1181,1927,1290,1621,1303,1023,1293,380
"Pocillopora_acuta_HIv2___RNAseq.g4080.t1",16,70,44,60,12,49,106,60,47,49,0
"Pocillopora_acuta_HIv2___RNAseq.g25131.t1",1064,1253,856,1078,1464,1065,1241,1261,1040,1168,627
"Pocillopora_acuta_HIv2___RNAseq.g11102.t1",2848,3588,4403,3791,3838,3634,3841,2840,2995,3074,2288
"Pocillopora_acuta_HIv2___RNAseq.g14132.t1",84,71,59,30,114,59,176,98,98,170,38
"Pocillopora_acuta_HIv2___RNAseq.g206.t1",1038,1657,558,806,2002,1280,2084,1742,1870,1300,176
"Pocillopora_acuta_HIv2___RNAseq.g4051.t1",13,38,134,41,48,21,38,20,37,38,10
"Pocillopora_acuta_HIv2___RNAseq.g3007.t2",2515,2461,1844,1661,2739,1574,2249,2891,2476,2120,690
"Pocillopora_acuta_HIv2___TS.g16637.t1",355,517,119,150,441,229,413,473,483,321,126
"Pocillopora_acuta_HIv2___RNAseq.g9610.t1a",1485,1503,1661,1315,1821,1418,1749,1861,1920,1493,352
"Pocillopora_acuta_HIv2___TS.g6118.t1",203,172,94,91,187,145,145,126,208,139,148
"Pocillopora_acuta_HIv2___RNAseq.g9610.t1b",35,16,63,16,36,17,21,12,31,25,0
"Pocillopora_acuta_HIv2___RNAseq.g25472.t1",18,32,40,53,32,38,52,38,74,24,15
"Pocillopora_acuta_HIv2___TS.g15978.t1",956,1176,2230,1805,1315,1299,1185,984,1322,1051,331
"Pocillopora_acuta_HIv2___RNAseq.g9641.t1",130,150,225,134,178,194,175,93,148,126,31
"Pocillopora_acuta_HIv2___RNAseq.g4072.t1",40,31,455,228,58,131,44,29,25,100,24
"Pocillopora_acuta_HIv2___TS.g29926.t1",22,3,9,8,11,34,13,9,13,13,3
"Pocillopora_acuta_HIv2___RNAseq.g4082.t1",110,97,138,192,60,178,140,111,87,157,20
"Pocillopora_acuta_HIv2___RNAseq.g24458.t1b",266,187,35,107,209,298,137,117,454,163,225
"Pocillopora_acuta_HIv2___RNAseq.g24458.t1a",8,14,16,8,5,9,21,9,6,5,10
"Pocillopora_acuta_HIv2___RNAseq.g19290.t1",233,215,38,56,239,172,350,174,132,361,37
"Pocillopora_acuta_HIv2___RNAseq.g16865.t1",212,170,220,278,151,141,212,178,219,207,253
"Pocillopora_acuta_HIv2___RNAseq.g24337.t1",49,39,36,38,68,53,129,26,75,41,76
"Pocillopora_acuta_HIv2___RNAseq.g14130.t2",56,43,22,25,67,67,95,49,41,90,52
"Pocillopora_acuta_HIv2___TS.g15464.t2",1219,1312,1199,1083,1608,1070,1387,1001,1179,1163,745
"Pocillopora_acuta_HIv2___RNAseq.18788_t",189,252,334,230,195,210,208,95,230,134,113
"Pocillopora_acuta_HIv2___RNAseq.g12195.t1",20,16,32,12,18,10,31,18,30,23,2
"Pocillopora_acuta_HIv2___RNAseq.g676.t1",101,90,69,65,129,83,114,86,148,121,30
"Pocillopora_acuta_HIv2___RNAseq.g10432.t1",212,363,30,149,148,371,97,444,299,121,157
"Pocillopora_acuta_HIv2___RNAseq.g14131.t1",24,25,0,0,37,12,11,13,16,7,15
"Pocillopora_acuta_HIv2___TS.g17866.t1",1594,2097,567,693,2078,1719,1622,1973,1980,1386,658
"Pocillopora_acuta_HIv2___RNAseq.g28419.t1",158,74,91,44,105,133,186,122,218,93,52
"Pocillopora_acuta_HIv2___TS.g28123.t1",1045,1109,1084,1339,953,1228,1202,1089,1266,1010,384
"Pocillopora_acuta_HIv2___RNAseq.g11313.t1",351,551,507,421,380,471,265,495,358,333,204
"Pocillopora_acuta_HIv2___RNAseq.g11121.t1",144,145,118,111,122,106,135,86,111,116,20
"Pocillopora_acuta_HIv2___RNAseq.g6038.t1",44,64,33,10,80,63,69,98,97,91,16
"Pocillopora_acuta_HIv2___RNAseq.g16060.t1",37,70,22,0,22,72,26,42,18,45,8
"Pocillopora_acuta_HIv2___RNAseq.g21168.t1",725,664,1198,1328,825,909,590,724,923,717,380
"Pocillopora_acuta_HIv2___RNAseq.g22585.t2c",53,43,28,12,28,52,53,34,28,35,25
"Pocillopora_acuta_HIv2___RNAseq.g1271.t1",2542,3722,2707,2592,3328,3245,3181,3242,3171,2993,762
"Pocillopora_acuta_HIv2___RNAseq.g19609.t1",604,603,668,594,466,664,529,786,653,466,141
"Pocillopora_acuta_HIv2___RNAseq.g10679.t1",197,324,363,328,335,224,261,225,212,280,291
"Pocillopora_acuta_HIv2___RNAseq.g17386.t1",60,61,65,39,39,92,66,57,92,38,30
"Pocillopora_acuta_HIv2___RNAseq.g13285.t1",680,786,966,939,871,731,790,764,569,579,329
"Pocillopora_acuta_HIv2___RNAseq.g27778.t1",1,25,6,6,9,8,9,12,12,5,10
"Pocillopora_acuta_HIv2___RNAseq.g28592.t1",69,45,13,60,60,26,103,27,68,74,18
"Pocillopora_acuta_HIv2___TS.g15926.t1",603,582,599,455,700,429,627,408,614,634,221
"Pocillopora_acuta_HIv2___RNAseq.21871_t",1838,1760,1125,1266,1820,1448,1963,1896,1656,1699,339
"Pocillopora_acuta_HIv2___TS.g14320.t1",316,298,297,411,467,332,330,307,323,300,221
"Pocillopora_acuta_HIv2___RNAseq.g14922.t1",890,543,369,466,672,540,504,865,656,633,1289
"Pocillopora_acuta_HIv2___RNAseq.g8932.t1",377,339,1392,815,439,515,757,313,412,631,146
"Pocillopora_acuta_HIv2___RNAseq.g5556.t1",1751,2524,1276,1333,2059,2083,2137,1817,1917,1758,521
"Pocillopora_acuta_HIv2___RNAseq.g25694.t1",714,984,1002,898,750,1084,787,769,891,811,331
"Pocillopora_acuta_HIv2___TS.g12990.t1",143,198,217,245,203,142,214,137,162,185,59
"Pocillopora_acuta_HIv2___RNAseq.g28590.t1",18,15,20,25,32,10,9,30,29,26,7
"Pocillopora_acuta_HIv2___RNAseq.g30957.t1",268,302,225,248,208,230,149,191,730,179,310
"Pocillopora_acuta_HIv2___RNAseq.g13135.t1",646,788,1062,1235,739,742,715,855,737,811,531
"Pocillopora_acuta_HIv2___TS.g3307.t2",2705,3520,1835,1436,2702,3286,3510,2932,4311,2411,860
"Pocillopora_acuta_HIv2___TS.g16186.t1",41,30,21,54,25,42,30,24,39,32,44
"Pocillopora_acuta_HIv2___RNAseq.g10090.t1",590,1267,71,2841,1445,1005,1246,4231,917,339,353
"Pocillopora_acuta_HIv2___RNAseq.g25936.t1",16,17,4,6,25,18,13,6,33,14,51
"Pocillopora_acuta_HIv2___TS.g20146.t1",19,17,4,12,25,35,9,16,28,21,10
"Pocillopora_acuta_HIv2___RNAseq.g17970.t1",535,497,730,680,607,434,602,380,531,530,128
"Pocillopora_acuta_HIv2___RNAseq.g4632.t1",667,896,1113,1068,871,1117,912,948,761,926,118
"Pocillopora_acuta_HIv2___RNAseq.g1155.t1",139,176,194,119,170,130,167,127,157,136,51
"Pocillopora_acuta_HIv2___RNAseq.g7113.t1",233,185,306,186,204,80,169,147,203,128,98
"Pocillopora_acuta_HIv2___RNAseq.g9450.t1",18932,22595,11025,14978,20377,17151,15483,25898,17352,19864,15605
"Pocillopora_acuta_HIv2___TS.g26831.t1a",978,1052,1262,1061,988,786,779,858,837,660,473
"Pocillopora_acuta_HIv2___TS.g26831.t1b",699,885,524,538,894,693,792,761,565,701,336
"Pocillopora_acuta_HIv2___TS.g1079.t2",536,583,819,705,687,438,733,568,501,710,191
"Pocillopora_acuta_HIv2___TS.g12458.t1",196,404,40,12,707,122,491,384,198,201,78
"Pocillopora_acuta_HIv2___RNAseq.g4541.t1",29,43,34,21,35,32,44,25,51,34,12
"Pocillopora_acuta_HIv2___RNAseq.g10092.t1",144,58,36,427,133,54,0,489,109,36,55
"Pocillopora_acuta_HIv2___TS.g17025.t1",139,69,88,27,163,87,99,62,336,89,13
"Pocillopora_acuta_HIv2___RNAseq.g20746.t1",737,1076,1189,896,958,1103,1542,774,483,1214,256
"Pocillopora_acuta_HIv2___TS.g24048.t2",1170,1052,889,955,1374,986,1576,1241,1140,1017,361
"Pocillopora_acuta_HIv2___RNAseq.g24963.t1",64,57,67,64,44,47,36,34,19,33,0
"Pocillopora_acuta_HIv2___RNAseq.g20190.t1",320,306,275,208,384,276,285,395,389,345,112
"Pocillopora_acuta_HIv2___RNAseq.g29901.t1",2343,2194,3514,2951,2770,2573,3271,2162,3245,2598,878
"Pocillopora_acuta_HIv2___RNAseq.g1157.t1",12,66,25,19,62,16,18,42,35,27,37
"Pocillopora_acuta_HIv2___RNAseq.g7111.t1",210,95,28,20,43,87,204,86,321,87,203
"Pocillopora_acuta_HIv2___RNAseq.g25934.t1",1134,1150,2089,2017,1221,1644,1195,1388,918,1236,361
"Pocillopora_acuta_HIv2___TS.g20323.t1",10,13,19,17,8,10,13,6,17,15,0
"Pocillopora_acuta_HIv2___RNAseq.g25425.t1",2843,3283,3288,3594,3528,3938,3196,3401,3732,3347,1224
"Pocillopora_acuta_HIv2___RNAseq.g23175.t1",127,110,36,35,169,49,137,80,135,108,62
"Pocillopora_acuta_HIv2___TS.g12977.t1",396,711,340,367,753,366,688,617,435,495,95
"Pocillopora_acuta_HIv2___RNAseq.g25427.t1",1122,1142,1486,1448,1080,933,922,1206,1212,804,532
"Pocillopora_acuta_HIv2___RNAseq.g31330.t1",101,66,23,28,31,45,63,49,77,40,33
"Pocillopora_acuta_HIv2___RNAseq.g6603.t1",914,891,498,502,1198,767,1260,1008,1348,1213,269
"Pocillopora_acuta_HIv2___TS.g15691.t1",21,18,28,14,12,14,11,13,8,3,6
"Pocillopora_acuta_HIv2___RNAseq.g27701.t1",1456,956,1000,1563,1500,1326,1260,1331,1812,1204,2234
"Pocillopora_acuta_HIv2___RNAseq.g24540.t1",114,229,230,228,187,209,146,173,211,139,58
"Pocillopora_acuta_HIv2___TS.g21184.t2",2160,2422,2985,2707,2449,1945,2313,2131,2460,1915,1448
"Pocillopora_acuta_HIv2___RNAseq.g21335.t1",140,146,328,201,242,148,226,185,131,252,73
"Pocillopora_acuta_HIv2___RNAseq.g24857.t1",12,5,33,19,27,7,17,4,19,21,36
"Pocillopora_acuta_HIv2___RNAseq.g6559.t1",282,215,188,281,297,292,218,188,252,354,106
"Pocillopora_acuta_HIv2___RNAseq.g26429.t1",179,120,148,126,239,241,316,191,244,156,45
"Pocillopora_acuta_HIv2___RNAseq.g30313.t1",751,990,1071,1000,946,916,1202,1025,1046,897,493
"Pocillopora_acuta_HIv2___RNAseq.g11810.t1",1542,1636,3767,2629,2108,1633,1855,2013,1771,1940,675
"Pocillopora_acuta_HIv2___RNAseq.g30070.t1",178,79,45,31,149,154,62,57,287,41,120
"Pocillopora_acuta_HIv2___RNAseq.g15086.t1",145,135,177,136,147,166,148,100,94,243,71
"Pocillopora_acuta_HIv2___RNAseq.g23177.t2",1766,1557,2456,1888,2029,1677,1922,1422,2055,1603,750
"Pocillopora_acuta_HIv2___RNAseq.g13903.t1",181,200,249,174,188,179,301,133,157,171,94
"Pocillopora_acuta_HIv2___RNAseq.g22223.t1",2096,3496,2955,2955,3013,2753,2947,2559,2694,2691,1086
"Pocillopora_acuta_HIv2___RNAseq.g2531.t1",81,68,104,55,71,54,47,41,98,53,31
"Pocillopora_acuta_HIv2___RNAseq.g4978.t1",314,356,1209,638,305,197,243,174,353,187,108
"Pocillopora_acuta_HIv2___RNAseq.g11789.t1",112,117,77,109,121,118,97,139,175,136,53
"Pocillopora_acuta_HIv2___TS.g157.t1",555,766,140,300,688,438,617,604,565,592,163
"Pocillopora_acuta_HIv2___RNAseq.2393_t",57,101,3,0,136,47,127,80,19,133,13
"Pocillopora_acuta_HIv2___RNAseq.g7838.t1",92,80,627,404,117,252,200,62,133,161,72
"Pocillopora_acuta_HIv2___RNAseq.g5147.t1",103,89,6,2,175,34,226,42,125,89,58
"Pocillopora_acuta_HIv2___RNAseq.7510_t",216,251,255,154,321,317,290,205,179,260,44
"Pocillopora_acuta_HIv2___RNAseq.g24542.t1",303,136,116,154,185,122,142,153,263,152,171
"Pocillopora_acuta_HIv2___TS.g14552.t1",769,673,526,359,789,530,1160,430,1036,732,328
"Pocillopora_acuta_HIv2___RNAseq.g18411.t1",65,33,63,40,41,32,69,30,62,51,103
"Pocillopora_acuta_HIv2___RNAseq.g29319.t1",1128,1051,2427,2237,1378,1160,1166,965,980,1048,1132
"Pocillopora_acuta_HIv2___TS.g1099.t2",194,173,77,56,246,104,224,260,177,247,27
